Match_ID,Shipley_Vocab_Raw
Sub0852_S1,32
Sub0855_S1,35
Sub0856_S1,29
Sub0859_S1,34
Sub0860_S1,25
Sub0861_S1,35
Sub0863_S1,30
Sub0864_S1,27
Sub0865_S1,30
Sub0866_S1,34
Sub0869_S1,28
Sub0871_S1,31
Sub0873_S1,35
Sub0875_S1,33
Sub0876_S1,28
Sub0877_S1,34
Sub0878_S1,37
Sub0880_S1,37
Sub0881_S1,31
Sub0882_S1,30
Sub0883_S1,33
Sub0887_S1,31
Sub0890_S1,34
Sub0892_S1,30
Sub0895_S1,30
Sub0896_S1,36
Sub0897_S1,36
Sub0901_S1,30
Sub0902_S1,39
Sub0904_S1,29
Sub0905_S1,35
Sub0907_S1,33
Sub0909_S1,35
Sub0910_S1,32
Sub0911_S1,36
Sub0913_S1,34
Sub0915_S1,35
Sub0918_S1,35
Sub0919_S1,34
Sub0920_S1,36
Sub0927_S1,32
Sub0928_S1,32
Sub0931_S1,36
Sub0932_S1,34
Sub0933_S1,34
Sub0935_S1,29
Sub0936_S1,37
Sub0937_S1,34
Sub0939_S1,35
Sub0941_S1,28
Sub0942_S1,33
Sub0943_S1,36
Sub0944_S1,30
Sub0945_S1,36
Sub0946_S1,37
Sub0948_S1,35
Sub0949_S1,34
Sub0951_S1,34
Sub0953_S1,34
Sub0954_S1,34
Sub0957_S1,34
Sub0958_S1,29
Sub0959_S1,36
Sub0962_S1,30
Sub0963_S1,27
Sub0965_S1,30
Sub0966_S1,27
Sub0967_S1,36
Sub0971_S1,32
Sub0972_S1,34
Sub0974_S1,32
Sub0977_S1,33
Sub0979_S1,33
Sub0981_S1,30
Sub0983_S1,33
Sub0984_S1,25
Sub0986_S1,34
Sub0987_S1,34
Sub0988_S1,27
Sub0989_S1,32
Sub0991_S1,28
Sub0993_S1,29
Sub0994_S1,31
Sub0995_S1,35
Sub0997_S1,30
Sub0998_S1,31
Sub0999_S1,34
Sub1000_S1,34
Sub1001_S1,32
Sub1002_S1,35
Sub1005_S1,29
