SubID,Sex,Age,Handedness,meanFD
sub-031626,F,26,Right,0.05184581
sub-031627,F,47,Right,0.04885801
sub-031628,F,22,Right,0.1519215
sub-031629,F,21,Right,0.1778509
sub-031630,F,23,Right,0.06552435
sub-031631,F,24,Right,0.03132957
sub-031632,F,24,Right,0.04290154
sub-031634,F,38,Right,0.1650861
sub-031635,M,58,Right,0.1177399
sub-031636,M,53,Right,0.05531179
sub-031637,M,48,Right,0.04269535
sub-031638,F,46,Right,0.1125723
sub-031639,F,42,Right,0.07254398
sub-031640,M,60,Right,0.1187169
sub-031641,M,57,Right,0.08636563
sub-031643,M,57,Right,0.1312424
sub-031644,M,35,Right,0.1676973
sub-031645,F,64,Right,0.09591898
sub-031646,M,61,Right,0.06445234
sub-031647,F,36,Right,0.03335364
sub-031648,M,49,Right,0.1249542
sub-031649,M,59,Right,0.06698138
sub-031650,F,59,Right,0.07553349
sub-031652,F,42,Right,0.1924351
sub-031653,M,34,Right,0.09851189
sub-031654,F,34,Right,0.08354252
sub-031655,F,40,Right,0.1735239
sub-031656,F,34,Right,0.1669562
sub-031657,F,34,Right,0.1054374
sub-031658,M,53,Right,0.06703306
sub-031659,M,65,Right,0.1541092
sub-031660,F,42,Right,0.06442814
sub-031662,F,44,Right,0.03733644
sub-031663,F,48,Right,0.1096482
sub-031664,M,61,Right,0.1238406
sub-031665,F,39,Right,0.07970499
sub-031666,F,52,Right,0.1317093
sub-031667,F,54,Right,0.06770777
sub-031668,F,40,Right,0.1133277
sub-031671,F,45,Right,0.1184182
sub-031672,M,53,Right,0.06404039
sub-031673,F,37,Right,0.1006779
sub-031674,F,37,Right,0.05520183
sub-031675,F,45,Right,0.03831785
sub-031676,F,33,Right,0.11806
sub-031677,M,54,Right,0.04845883
sub-031678,M,35,Right,0.03345753
sub-031679,M,50,Right,0.1473104
sub-031680,M,33,Right,0.1133131
sub-031681,F,49,Right,0.08702383
sub-031682,F,44,Right,0.04007863
sub-031683,M,54,Right,0.06370111
sub-031684,M,59,Right,0.06576799
sub-031685,M,60,Right,0.09634269
sub-031686,F,60,Right,0.1019633
sub-031687,M,42,Right,0.08556276
sub-031688,F,34,Right,0.09060401
sub-031689,M,53,Right,0.1714083
sub-031690,F,33,Right,0.199919
sub-031691,M,44,Right,0.06297298
sub-031692,F,35,Right,0.04855424
sub-031693,M,34,Right,0.06997976
sub-031694,F,32,Right,0.1688695
sub-031695,F,56,Right,0.09541501
sub-031696,M,40,Right,0.0693036
sub-031697,F,55,Right,0.1182547
sub-031698,F,57,Right,0.1368426
sub-031699,M,58,Right,0.1055387
sub-031700,F,46,Right,0.08322489
sub-031701,M,60,Right,0.1032029
sub-031702,F,43,Right,0.1023834
sub-031704,M,42,Right,0.09729681
sub-031706,F,60,Right,0.06084993
sub-031708,F,58,Right,0.1144613
sub-031710,F,60,Right,0.1884738
sub-031711,F,56,Right,0.1795498
sub-031712,F,60,Right,0.1254593
sub-031713,M,54,Right,0.08224249
sub-031714,M,24,Right,0.1526546
sub-031715,M,25,Right,0.04930896
sub-031716,F,24,Right,0.04723858
sub-031718,M,24,Right,0.05527975
sub-031720,M,26,Right,0.05862531
sub-031721,F,24,Right,0.09676344
sub-031722,F,24,Right,0.04151028
sub-031723,F,25,Left,0.05790564
sub-031724,F,24,Right,0.04576983
sub-031725,F,24,Right,0.08172993
sub-031726,M,28,Both,0.04659493
sub-031727,F,24,Right,0.0401552
sub-031728,M,26,Right,0.03549417
sub-031729,M,30,Right,0.04763673
sub-031730,F,25,Both,0.07508987
sub-031731,F,24,Left,0.05752483
sub-031732,F,24,Right,0.1197335
sub-031733,F,25,Right,0.08662584
sub-031734,F,25,Both,0.03205785
sub-031736,M,24,Right,0.1162945
sub-031737,M,23,Both,0.04446257
sub-031738,M,24,Right,0.07654063
sub-031739,M,24,Both,0.04861158
sub-031740,F,26,Right,0.05217366
sub-031741,F,25,Right,0.09862506
sub-031742,F,23,Right,0.04367014
sub-031743,F,27,Right,0.1050667
sub-031744,M,25,Right,0.07016492
sub-031745,F,25,Right,0.09161641
sub-031746,M,25,Right,0.03841967
sub-031747,M,25,Right,0.05620143
sub-031748,F,23,Right,0.08696939
sub-031749,F,23,Right,0.07407652
sub-031750,F,26,Right,0.08470764
sub-031751,F,27,Right,0.06412487
sub-031752,M,34,Right,0.1274134
sub-031753,F,28,Right,0.08311067
sub-031754,M,27,Right,0.05707461
sub-031755,M,25,Right,0.06038539
sub-031756,M,24,Right,0.0545565
sub-031757,F,23,Right,0.05689849
sub-031758,M,24,Right,0.0520095
sub-031759,M,25,Both,0.1676585
sub-031760,M,23,Right,0.04294438
sub-031761,F,22,Right,0.1244602
sub-031762,F,24,Right,0.1121823
sub-031763,F,23,Right,0.04368986
sub-031764,F,24,Right,0.041249
sub-031765,M,25,Right,0.1000572
sub-031766,M,24,Right,0.04753616
sub-031767,F,24,Right,0.05292855
